	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3
OTU_666	3	3	1	1	0	2	2	5	2	2	1	1	0	3	4	5	4	5
OTU_1653	1	0	1	0	0	0	0	0	0	0	5	0	0	2	2	0	2	2
OTU_3298	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
OTU_289	14	19	8	10	4	8	13	10	12	25	7	5	3	18	12	11	5	14
OTU_400	7	7	4	7	5	6	1	1	3	12	9	3	6	3	6	10	7	14
OTU_89	53	49	53	21	17	31	44	31	37	49	29	14	17	38	32	24	38	33
OTU_1413	9	10	3	7	4	3	5	0	2	16	10	3	2	5	1	13	6	13
OTU_1176	5	3	2	3	0	5	4	0	2	3	1	1	1	3	0	1	8	1
OTU_1940	0	1	1	0	0	0	0	2	1	2	0	0	0	4	1	1	1	0
OTU_2135	0	1	1	5	0	1	0	0	1	4	3	0	1	0	0	0	0	2
OTU_2258	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	4	1
OTU_1923	0	0	0	1	0	0	2	0	0	0	0	1	0	2	0	0	1	0
OTU_2446	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1
OTU_3177	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_892	28	6	11	35	20	34	13	8	18	31	12	12	5	6	15	21	24	22
OTU_425	9	9	4	2	3	0	1	5	5	10	2	5	4	7	3	11	12	8
OTU_1027	3	4	2	0	0	1	0	0	3	2	1	0	0	4	1	2	5	3
OTU_1848	0	0	1	0	0	0	0	3	1	0	0	1	2	0	2	0	0	0
OTU_301	35	24	29	33	27	33	34	21	31	46	21	15	9	26	10	48	36	49
OTU_347	23	15	19	11	10	3	19	8	18	10	6	5	12	14	10	15	11	17
OTU_2615	10	12	6	7	19	15	10	6	3	6	8	3	8	14	12	13	14	13
OTU_797	1	1	0	2	2	6	0	1	3	2	4	0	0	8	5	6	2	2
OTU_787	0	0	0	15	10	14	0	0	1	14	7	2	1	0	0	5	5	8
OTU_2282	0	0	1	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0
OTU_154	3	5	0	88	46	97	2	1	2	85	68	24	11	8	4	37	40	25
OTU_1443	0	0	0	2	3	0	0	0	0	1	1	1	0	0	0	2	0	2
