Query_id	tax
total_10101288	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1010154	k__Bacteria
total_10101960	k__Bacteria
total_10102567	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10102675	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10103494	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10103862	k__Bacteria;p__Bacteroidetes
total_10103892	k__Bacteria
total_10103977	k__Bacteria
total_10104125	k__Bacteria
total_10104126	k__Bacteria
total_10104555	k__Bacteria
total_10104562	k__Bacteria
total_10104604	Unclassified
total_10106056	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10106173	k__Bacteria;p__Proteobacteria
total_10106928	k__Bacteria
total_10106950	k__Bacteria;p__Bacteroidetes
total_10107148	k__Bacteria;p__Proteobacteria
total_10107706	k__Bacteria
total_10107728	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_10108169	k__Bacteria;p__Proteobacteria
total_10108985	k__Bacteria
total_10109487	k__Bacteria
total_1010958	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10109678	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10110070	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10110204	k__Bacteria
total_10110812	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae
total_10111050	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10111433	k__Bacteria
total_10111718	k__Bacteria;p__Actinobacteria;c__Actinobacteria
total_10111977	k__Bacteria
total_10111990	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10112098	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10112132	k__Bacteria
total_10112512	k__Bacteria
total_10112540	k__Bacteria
total_10112849	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_10112852	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10112853	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10113515	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
